Dataset Name,model,n_estimators,accuracy,acc_std_dev,f1,f1_std_dev,g_mean,g_mean_std_dev,oracle_mean,oracle_std_dev
ecoli3,Perceptron,1,0.9105794556628621,0.028527587626207235,0.5253119429590017,0.28207822570879504,0.6746907876795283,0.35617557096377217, ,
segment0,Perceptron,1,0.993934698706933,0.0031830800644939987,0.9784300428837017,0.01167082044431927,0.9848991664416772,0.014319244943067213, ,
vehicle2,Perceptron,1,0.9350295857988165,0.036744371056170975,0.8725213199851687,0.0760017941014441,0.913713010417499,0.06076307120714047, ,
yeast3,Perceptron,1,0.9238602238602238,0.015121729117172888,0.6576186075749586,0.09203778091050366,0.8038875241068771,0.0894158151561878, ,
glass6,Perceptron,1,0.9345514950166113,0.05387389182890228,0.7589743589743589,0.18228587268898694,0.8465499933598799,0.11671923154586598, ,
ecoli3,Bagging,10,0.9195346795434591,0.02047913683816665,0.562975912975913,0.17524107268608624,0.7013893991229555,0.16606239887990584,0.9910447761194028,0.011940298507462681
segment0,Bagging,10,0.9973988412166287,0.002125755283593813,0.9907686845375467,0.007610018978612324,0.9921071300661349,0.00817782461119759,0.9978326806960214,0.001371922822044503
vehicle2,Bagging,10,0.9574660633484162,0.013615474980062185,0.9145903459277192,0.02861028963885173,0.9340549474666412,0.024345826189025165,0.992906369648451,0.00869737170184542
yeast3,Bagging,10,0.9494699244699245,0.013939866249073115,0.7459537405830595,0.08105296060605564,0.8182692673040923,0.06408394442430289,0.9898944398944399,0.0036842227208707975
glass6,Bagging,10,0.9345514950166113,0.022863322968884055,0.7344522144522144,0.10433795573370569,0.8135314964722319,0.07921245076223213,0.9813953488372092,0.022785951095657456
ecoli3,Bagging,20,0.9285338015803337,0.025762496130380022,0.6002564102564103,0.20775940669838125,0.7210003506720775,0.18438883845087026,0.9910447761194028,0.011940298507462681
segment0,Bagging,20,0.9973988412166287,0.002125755283593813,0.9907686845375467,0.007610018978612324,0.9921071300661349,0.00817782461119759,0.9982655811289216,0.0016230287892289462
vehicle2,Bagging,20,0.9586425339366516,0.008279997968857039,0.9189207038067833,0.01746158654616688,0.9430110673431218,0.015486831809530656,0.9952732335537766,0.006899354867232809
